,wavelength,R,G,B
133,494,-0.0034765739391815075,0.004441640518812385,0.0034940245172735977
134,495,-0.0035766390050056248,0.00466568445953946,0.00329190408539997
135,496,-0.003678542877204055,0.004896182962131358,0.0031012511539202357
136,497,-0.003782649871662359,0.005134147433105941,0.0029213122635950244
137,498,-0.003890183506055388,0.005381933225878413,0.0027515847471396506
138,499,-0.004002371910147356,0.005641905564962894,0.0025915585362882945
139,500,-0.004120339501363237,0.005916287267773706,0.0024406497199643638
140,501,-0.0042368125013110955,0.006194859540030813,0.00229429359505807
141,502,-0.004357455076613163,0.0064863693563628625,0.0021561469958909308
142,503,-0.004479270657215853,0.0067876955290104,0.0020240342083165
143,504,-0.004599398891651043,0.0070959090832344775,0.0018958538435087085
144,505,-0.004714877809681498,0.007407925898198343,0.0017694531857012296
145,506,-0.0048238777134899866,0.007721689494767599,0.001643511608143547
146,507,-0.004926370619923663,0.008037586305113649,0.0015185875734913144
147,508,-0.005022104948694825,0.008356187047391037,0.0013953639414979481
148,509,-0.005110967965011084,0.008678285628675229,0.001274559463757279
149,510,-0.005192709802599554,0.009004444643303456,0.001156848016282695
150,511,-0.005259604243374353,0.009321686242524961,0.001040771164596235
151,512,-0.005317212027741444,0.009639241279952417,0.0009281373757802228
152,513,-0.005364126136259034,0.009954400857960318,0.0008198192330124639
153,514,-0.005399106020836417,0.01026476318648029,0.0007167020532277831
154,515,-0.005420778053694876,0.010567684411606689,0.0006196349980822529
155,516,-0.00542855361464737,0.010862232374433633,0.0005289587631250044
156,517,-0.0054220007885248805,0.01114691937600832,0.0004444791924475001
157,518,-0.005400000578802633,0.01141829614587244,0.00036624069423369705
158,519,-0.005361601695657364,0.011673274592999284,0.00029429872423478837
159,520,-0.005305712002757869,0.011908486104528106,0.00022869532180181225
160,521,-0.005261220007960043,0.01219001075545397,0.00017056845369116348
161,522,-0.005198535674755313,0.012453266104383381,0.00011783907551598041
162,523,-0.00511869270532022,0.01270053134293771,6.959015814359474e-05
163,524,-0.005022737439140908,0.012934112377599869,2.4893897785715383e-05
164,525,-0.004911682697074126,0.013156217997212775,-1.7187932385171668e-05
165,526,-0.004785870445712455,0.013367921032000591,-5.7140064788551306e-05
166,527,-0.004645555517856464,0.013568094846750665,-9.494992849056262e-05
167,528,-0.00449190495436694,0.01375634505378313,-0.00013081984883928037
168,529,-0.004326099647638236,0.013932274095544258,-0.00016495455051155578
169,530,-0.004149334300558062,0.01409548124219888,-0.00019756125502900168
170,531,-0.003939753898985392,0.014164343263815767,-0.00022760762488056613
171,532,-0.003722276727628651,0.014219582531387503,-0.00025612421506590187
172,533,-0.0034969553989611206,0.014262102074067957,-0.0002830219059023215
173,534,-0.003263709867677318,0.014292268998089032,-0.0003082034099351158
174,535,-0.0030225881328361207,0.014310978506788695,-0.00033158332881637716
175,536,-0.0027738529448127673,0.014318568307394714,-0.0003531939035402069
176,537,-0.002517778491460738,0.014315013300576619,-0.0003731398961927355
177,538,-0.0022543774135230245,0.014300641273889166,-0.00039144747819484565
178,539,-0.0019835694212212464,0.014275239194445701,-0.00040812860461825315
179,540,-0.001705358945254161,0.014239137992975262,-0.0004232099121253405
180,541,-0.0014237708362747038,0.014232245186379739,-0.00043794519588068724
181,542,-0.0011334664393556008,0.014215035074496528,-0.00045123823057221986
182,543,-0.0008346462348738426,0.014187681619510973,-0.0004631286599528645
183,544,-0.0005275113978343331,0.014150360299649311,-0.0004736560558314208
184,545,-0.000212263796214752,0.014103248106172127,-0.0004828599181058067
185,546,0.0001109557108625902,0.014046527146931147,-0.0004907722925880566
186,547,0.000442112740241456,0.013980216012611553,-0.0004974389355012478
187,548,0.0007811734817751196,0.01390498091508258,-0.0005029451908205216
188,549,0.0011281037936783174,0.013821352843924353,-0.0005073718270613472
189,550,0.0014828637225292557,0.013729865437140975,-0.000510799601134324
190,551,0.001839118132254248,0.013581851917785975,-0.0005114401107383609
191,552,0.0022004771094957056,0.013426712331836725,-0.0005111467966889044
192,553,0.0025666347512174996,0.013264333005780789,-0.0005099582922729844
193,554,0.002937401288840265,0.013095066534602623,-0.0005079301453861132
194,555,0.0033125228552709947,0.012918693642075768,-0.0005050951128662204
195,556,0.0036919374684791974,0.012735291198745703,-0.0005014926784070186
196,557,0.004075325836223971,0.012544982726986084,-0.0004971677388282554
197,558,0.0044620439636434625,0.012347528861294968,-0.0004921557625233078
198,559,0.004851638918930681,0.012143145381499281,-0.00048650946700950153
199,560,0.005243516479951049,0.011931502768247252,-0.0004802590099130531
200,561,0.005639530331316756,0.01171704796560681,-0.0004736210855074627
201,562,0.006037204044342054,0.011495999506167044,-0.0004664620585691649
202,563,0.006436232100134547,0.011268789114062617,-0.0004588101422046411
203,564,0.006836295195041934,0.011035810064518098,-0.00045069186893451416
204,565,0.007237097977365806,0.010797486107247962,-0.00044213490139774963
205,566,0.007638228897778675,0.010554173267970007,-0.00043317272980767843
206,567,0.008039029661840558,0.010306098319861304,-0.00042383307292645565
207,568,0.008438845617114114,0.01005347714782533,-0.0004141340840378797
208,569,0.008837005155975523,0.009796493918096087,-0.0004040925121034559
209,570,0.009232870557724725,0.00953536386458776,-0.00039372627732355486
210,571,0.009657092021597232,0.009300481544486035,-0.00038430439226678294
211,572,0.010080534651158398,0.009060630740284787,-0.0003745559068897401
212,573,0.010502582857903201,0.008816230950312606,-0.00036451311301438513
213,574,0.010922654743173384,0.008567728475111745,-0.00035420936845864594
214,575,0.01134013790521012,0.008315540657680552,-0.0003436767916241259
215,576,0.011754458078566784,0.00806008369234967,-0.00033293987387513624
216,577,0.012164702013558716,0.007801676175292067,-0.0003220293120371565
217,578,0.012569742344815438,0.007540591681081966,-0.000310986569944882
218,579,0.012968495422877594,0.007277126263385702,-0.0002998539774574739
219,580,0.013359843936787243,0.007011550469368903,-0.0002886727418744374
220,581,0.013648764681816902,0.006698008389565687,-0.00027557306387339376
221,582,0.013923498223935541,0.00638687000303502,-0.0002626223121793345
222,583,0.014183591015911304,0.006078790629794297,-0.00024984086939364885
223,584,0.014428547869846289,0.005774382365693189,-0.00023724749550781688
224,585,0.014657951630990006,0.005474267026804947,-0.00022486151343031297
225,586,0.014871065887022913,0.005178958625462908,-0.00021271554820976617
226,587,0.015067438503319047,0.004888868053471408,-0.00020081437186696686
227,588,0.015247111296222674,0.00460443223219605,-0.0001891353493642515
228,589,0.015410068882067878,0.004326050669429503,-0.00017765557098308775
229,590,0.01555637264221157,0.004054127500417044,-0.00016635357888657761
230,591,0.015836531083805522,0.0038251683845802295,-0.00015669728857261586
231,592,0.016103808380596888,0.0035989792802611194,-0.0001470663121904026
232,593,0.016355648626122526,0.003376415867508009,-0.0001375472509815472
233,594,0.0165894056330474,0.003158324753212734,-0.00012822664911208277
234,595,0.016802488692055768,0.0029455748538370742,-0.00011919227416724105
235,596,0.016992781987585227,0.002738921157227552,-0.00011050425966100185
236,597,0.017161057637928627,0.002538306038192252,-0.00010213774397098463
237,598,0.017309064604263794,0.00234337202950491,-9.405279577968576e-05
238,599,0.01743848594525381,0.002153748007398765,-8.620878169096564e-05
239,600,0.017551092482342077,0.00196907099406499,-7.856524263854224e-05
240,601,0.017614044967640963,0.0017857613532402145,-7.096496999570005e-05
241,602,0.017659356126880105,0.0016085043899676408,-6.361162465795634e-05
242,603,0.017684928265842295,0.0014379863791053181,-5.655313449991129e-05
243,604,0.017688668324806648,0.0012748908393847866,-4.983727523447619e-05
244,605,0.017668468201970294,0.0011198972897400394,-4.351162210704532e-05
245,606,0.017623202621352606,0.0009733875749939444,-3.760671375649853e-05
246,607,0.01755430261155857,0.0008350726562409123,-3.208917110534344e-05
247,608,0.017463592154908565,0.0007046436567044995,-2.6911455669745402e-05
248,609,0.017352894886701765,0.0005817900414797725,-2.2026020107753945e-05
249,610,0.017224034088619736,0.0004661996225253075,-1.738530843318397e-05
250,611,0.0170493934528049,0.00035714729761456037,-1.2943943241417992e-05
251,612,0.016857643653228817,0.00025556477184089763,-8.754268787482837e-06
252,613,0.016648997743271172,0.00016130125308904864,-4.8286120295015495e-06
253,614,0.01642359060987877,7.420639628015413e-05,-1.1791716936910427e-06
254,615,0.016181629298449872,-5.867802873205526e-06,2.1819199588079187e-06
255,616,0.015924077126898688,-7.910741225194959e-05,5.2589718896946195e-06
256,617,0.015651371611900354,-0.00014575777156350535,8.06400711351366e-06
257,618,0.015362938711584674,-0.00020605696750967292,1.0596700032370517e-05
258,619,0.015058139656553364,-0.00026024073711744945,1.2856705665691273e-05
259,620,0.014736409497691741,-0.0003085433485396295,1.4843713389886596e-05
260,621,0.014356532195213087,-0.000350198148694559,1.651133951970338e-05
261,622,0.013964011096916695,-0.00038629400762873654,1.7918071582549685e-05
262,623,0.01356175607660778,-0.0004172002101213297,1.909335566930908e-05
